DateTime,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp,Heat_DegDays,Cool_DegDays,TotalRain,TotalSnow,TotalPrecip,SnowonGrnd
2015-01-01,2015,1,1,0,-8.5,-4.3,22.3,0,0,0,0,0
2015-01-02,2015,1,2,3,-3,0,18,0,0,0,0,0
2015-01-03,2015,1,3,2.5,-4,-0.8,18.8,0,24,0,24,0
2015-01-04,2015,1,4,2.5,0,1.3,16.7,0,0,1,1,0
2015-01-05,2015,1,5,-10,-13.5,-11.8,29.8,0,0,3,3,1
2015-01-06,2015,1,6,,,,,,,,,
2015-01-07,2015,1,7,,,,,,,,,
2015-01-08,2015,1,8,,,,,,,,,
2015-01-09,2015,1,9,-7,-14,-10.5,28.5,0,0,0,0,4
2015-01-10,2015,1,10,-2.5,,,,,0,0,0,0
2015-01-11,2015,1,11,,,,,,,,,
2015-01-12,2015,1,12,,,,,,,,,
2015-01-13,2015,1,13,-12,-17,-14.5,32.5,0,0,0,0,8
2015-01-14,2015,1,14,,,,,,,,,
2015-01-15,2015,1,15,,,,,,0,0,0,0
2015-01-16,2015,1,16,,,,,,,,,
2015-01-17,2015,1,17,,,,,,,,,
2015-01-18,2015,1,18,5,-4,0.5,17.5,0,1.2,0,1.2,2
2015-01-19,2015,1,19,3,,,,,0,0,0,0
2015-01-20,2015,1,20,,,,,,,,,
2015-01-21,2015,1,21,-4,-6,-5,23,0,0,0,0,4
2015-01-22,2015,1,22,,,,,,,,,
2015-01-23,2015,1,23,,,,,,,,,
2015-01-24,2015,1,24,,,,,,,,,
2015-01-25,2015,1,25,,,,,,0,0,0,0
2015-01-26,2015,1,26,-5,,,,,0,0,0,0
2015-01-27,2015,1,27,,,,,,,,,
2015-01-28,2015,1,28,2,-14,-6,24,0,0,0,0,3
2015-01-29,2015,1,29,,,,,,,,,
2015-01-30,2015,1,30,,,,,,,,,
2015-01-31,2015,1,31,1,-13.5,-6.3,24.3,0,0,5,5,0
2015-02-01,2015,2,1,-4,-6,-5,23,0,0,15,15,8
2015-02-02,2015,2,2,-7,-10.5,-8.8,26.8,0,0,0,0,30
2015-02-03,2015,2,3,,,,,,,,,
2015-02-04,2015,2,4,1,-6,-2.5,20.5,0,0,2,2,30
2015-02-05,2015,2,5,,,,,,,,,
2015-02-06,2015,2,6,,,,,,,,,
2015-02-07,2015,2,7,,,,,,,,,
2015-02-08,2015,2,8,2.5,-0.5,1,17,0,2.8,0,2.8,24
2015-02-09,2015,2,9,,,,,,,,,
2015-02-10,2015,2,10,-1.5,,,,,0,0,0,0
2015-02-11,2015,2,11,0.5,-10,-4.8,22.8,0,0,2,2,20
2015-02-12,2015,2,12,,,,,,,,,
2015-02-13,2015,2,13,-4,-19,-11.5,29.5,0,0,5,5,20
2015-02-14,2015,2,14,-7,-14.5,-10.8,28.8,0,0,0,0,23
2015-02-15,2015,2,15,,,,,,,,,
2015-02-16,2015,2,16,-12,-24,-18,36,0,0,0,0,22
2015-02-17,2015,2,17,,,,,,,,,
2015-02-18,2015,2,18,-5.5,-15.5,-10.5,28.5,0,0,0,0,22
2015-02-19,2015,2,19,,,,,,,,,
2015-02-20,2015,2,20,,,,,,,,,
2015-02-21,2015,2,21,-3,-20,-11.5,29.5,0,0,3,3,0
2015-02-22,2015,2,22,1,,,,,0,0,0,0
2015-02-23,2015,2,23,,,,,,,,,
2015-02-24,2015,2,24,-6.5,-18.5,-12.5,30.5,0,0,0,0,24
